São Gonçalo do Amarante,Rio Grande do Norte,104 919
Vilhena,Rondônia,104 517
Itaperuna,Rio de Janeiro,104 354
Itanhaém,São Paulo,104 351
Breves,Pará,104 280
Itacoatiara,Amazonas,104 046
Caieiras,São Paulo,104 044
Fazenda Rio Grande,Paraná,103 750
Mairiporã,São Paulo,103 645
Iguatu,Ceará,103 633
Jataí,Goiás,103 221
Santo Antônio de Jesus,Bahia,103 204
Itaituba,Pará,101 541
Barra do Piraí,Rio de Janeiro,101 139
Abreu e Lima,Pernambuco,100 698
Manacapuru,Amazonas,99 613
Ipojuca,Pernambuco,99 101
Sarandi,Paraná,98 888
Guaíba,Rio Grande do Sul,98 331
Valença,Bahia,97 873
Itajubá,Minas Gerais,97 782
Bayeux,Paraíba,97 519
Nova Lima,Minas Gerais,97 378
Balsas,Maranhão,96 951
Itabaiana,Sergipe,96 839
Votuporanga,São Paulo,96 106
Campo Mourão,Paraná,96 102
Caçapava,São Paulo,95 752
Pará de Minas,Minas Gerais,95 616
Cáceres,Mato Grosso,95 339
Ponta Porã,Mato Grosso do Sul,95 320
Itapeva,São Paulo,95 241
Caldas Novas,Goiás,95 183
Sorriso,Mato Grosso,94 941
Paracatu,Minas Gerais,94 539
Itaúna,Minas Gerais,94 455
Mogi Mirim,São Paulo,94 098
Francisco Beltrão,Paraná,93 308
Caratinga,Minas Gerais,93 124
São Roque,São Paulo,93 076
Ubatuba,São Paulo,92 819
Luís Eduardo Magalhães,Bahia,92 671
Arujá,São Paulo,92 453
São João da Boa Vista,São Paulo,92 315
Patrocínio,Minas Gerais,92 116
São Cristóvão,Sergipe,92 090
Manhuaçu,Minas Gerais,92 074
Saquarema,Rio de Janeiro,91 938
Avaré,São Paulo,91 792
São Sebastião,São Paulo,91 637
Planaltina,Goiás,91 345
Timóteo,Minas Gerais,91 268
São João del-Rei,Minas Gerais,90 897
Santa Inês,Maranhão,89 927
Cruzeiro do Sul,Acre,89 760
Lorena,São Paulo,89 532
Paranavaí,Paraná,89 454
Quixadá,Ceará,88 899
Barra do Corda,Maranhão,88 895
Gurupi,Tocantins,88 428
Candeias,Bahia,87 820
Serra Talhada,Pernambuco,87 467
Camboriú,Santa Catarina,87 179
Coari,Amazonas,86 713
Cacoal,Rondônia,86 416
Campo Limpo Paulista,São Paulo,86 407
Redenção,Pará,86 326
São Bento do Sul,Santa Catarina,86 317
Lajeado,Rio Grande do Sul,86 005
Navegantes,Santa Catarina,85 734
Pacatuba,Ceará,85 647
Unaí,Minas Gerais,85 461
Guanambi,Bahia,85 353
Gravatá,Pernambuco,85 309
Araripina,Pernambuco,85 301
Carpina,Pernambuco,85 131
Cianorte,Paraná,84 980
Pato Branco,Paraná,84 779
Moju,Pará,84 251
Pinheiro,Maranhão,84 160
Matão,São Paulo,84 069
Ijuí,Rio Grande do Sul,84 041
Seropédica,Rio de Janeiro,83 841
Dias d'Ávila,Bahia,83 705
Esteio,Rio Grande do Sul,83 352
Cruzeiro,São Paulo,82 895
Macaíba,Rio Grande do Norte,82 828
Três Rios,Rio de Janeiro,82 468
Quixeramobim,Ceará,82 455
Serrinha,Bahia,81 693
Aquiraz,Ceará,81 581
Cachoeira do Sul,Rio Grande do Sul,81 552
Vinhedo,São Paulo,81 516
Curvelo,Minas Gerais,81 085
Alfenas,Minas Gerais,80 973
João Monlevade,Minas Gerais,80 903
Jacobina,Bahia,80 749
Viana,Espírito Santo,80 735
Chapadinha,Maranhão,80 705
Telêmaco Borba,Paraná,80 588
Três Corações,Minas Gerais,80 561
Sapiranga,Rio Grande do Sul,80 514
Goiana,Pernambuco,80 345
Ibiúna,São Paulo,80 062
Caçador,Santa Catarina,80 017
Viçosa,Minas Gerais,79 910
Senhor do Bonfim,Bahia,79 813
Russas,Ceará,79 550
Cajamar,São Paulo,79 034
Lins,São Paulo,78 978
Picos,Piauí,78 627
Novo Repartimento,Pará,78 488
Jaboticabal,São Paulo,78 029
Bebedouro,São Paulo,77 612
Santo Ângelo,Rio Grande do Sul,77 544
Canindé,Ceará,77 484
Itapetinga,Bahia,77 408
Pirassununga,São Paulo,77 330
Valença,Rio de Janeiro,77 202
Tianguá,Ceará,77 111
Belo Jardim,Pernambuco,76 930
Santo Antônio do Descoberto,Goiás,76 871
Santana do Araguaia,Pará,75 995
Cataguases,Minas Gerais,75 942
Itapira,São Paulo,75 683
Concórdia,Santa Catarina,75 683
Rio Largo,Alagoas,75 662
Santana do Livramento,Rio Grande do Sul,75 647
Aracati,Ceará,75 392
Arcoverde,Pernambuco,75 295
Crateús,Ceará,75 241
Oriximiná,Pará,74 921
Ouro Preto,Minas Gerais,74 824
Cosmópolis,São Paulo,74 662
Cidade Ocidental,Goiás,74 370
Ceará-Mirim,Rio Grande do Norte,74 268
Pacajus,Ceará,74 145
Irecê,Bahia,74 050
Santa Rosa,Rio Grande do Sul,73 882
Farroupilha,Rio Grande do Sul,73 758
Buriticupu,Maranhão,73 595
Palmeira dos Índios,Alagoas,73 452
Amparo,São Paulo,73 145
Santa Luzia,Maranhão,73 105
Casa Nova,Bahia,73 092
Rio do Sul,Santa Catarina,72 931
Santa Izabel do Pará,Pará,72 856
Cascavel,Ceará,72 706
Esmeraldas,Minas Gerais,72 512
Alegrete,Rio Grande do Sul,72 493
Janaúba,Minas Gerais,72 374
Venâncio Aires,Rio Grande do Sul,72 373
Indaial,Santa Catarina,72 346
Castro,Paraná,72 125
Goianésia,Goiás,72 045
Gaspar,Santa Catarina,71 925
São Sebastião do Paraíso,Minas Gerais,71 915
Campo Formoso,Bahia,71 754
Grajaú,Maranhão,70 692
Biguaçu,Santa Catarina,70 471
Ouricuri,Pernambuco,70 466
Embu-Guaçu,São Paulo,70 402
Bom Jesus da Lapa,Bahia,70 151
Sousa,Paraíba,69 997
Campo Bom,Rio Grande do Sul,69 981
Estância,Sergipe,69 919
Capanema,Pará,69 828
Cabedelo,Paraíba,69 773
Escada,Pernambuco,69 701
Peruíbe,São Paulo,69 697
Horizonte,Ceará,69 688
Fernandópolis,São Paulo,69 680
Lucas do Rio Verde,Mato Grosso,69 671
Lençóis Paulista,São Paulo,69 533
Araranguá,Santa Catarina,69 493
Mineiros,Goiás,69 477
Itapema,Santa Catarina,69 323
Itapecuru-Mirim,Maranhão,69 233
Mococa,São Paulo,69 072
Caicó,Rio Grande do Norte,68 726
Breu Branco,Pará,68 597
Tabatinga,Amazonas,68 502
Icó,Ceará,68 303
Rolândia,Paraná,68 165
Pesqueira,Pernambuco,68 067
Januária,Minas Gerais,67 958
Formiga,Minas Gerais,67 956
Brumado,Bahia,67 468
Conceição do Coité,Bahia,67 394
Ipixuna do Pará,Pará,67 170
Vacaria,Rio Grande do Sul,66 916
Lagoa Santa,Minas Gerais,66 744
Camaquã,Rio Grande do Sul,66 686
Surubim,Pernambuco,66 192
Maués,Amazonas,66 159
Montenegro,Rio Grande do Sul,66 157
Bertioga,São Paulo,66 154
União dos Palmares,Alagoas,65 963
Coroatá,Maranhão,65 788
Tupã,São Paulo,65 615
Pedro Leopoldo,Minas Gerais,65 149
Itaberaba,Bahia,64 795
Benevides,Pará,64 780
Tomé-Açu,Pará,64 604
Itamaraju,Bahia,64 423
Itupeva,São Paulo,64 330
Camocim,Ceará,64 147
Penápolis,São Paulo,64 098
Penedo,Alagoas,64 005
Cruz das Almas,Bahia,63 923
Barreirinhas,Maranhão,63 891
Primavera do Leste,Mato Grosso,63 876
Portel,Pará,63 831
Piripiri,Piauí,63 829
Moreno,Pernambuco,63 792
Palmares,Pernambuco,63 745
Acaraú,Ceará,63 556
Batatais,São Paulo,63 438
Igarapé-Miri,Pará,63 367
Boituva,São Paulo,63 310
Cajazeiras,Paraíba,62 576
Carazinho,Rio Grande do Sul,62 413
São Miguel dos Campos,Alagoas,62 328
Ulianópolis,Pará,62 286
Guapimirim,Rio de Janeiro,62 225
São Gabriel,Rio Grande do Sul,62 187
Viseu,Pará,62 093
Viçosa do Ceará,Ceará,61 916
Mariana,Minas Gerais,61 830
Nova Odessa,São Paulo,61 716
Monte Mor,São Paulo,61 707
Barra do Garças,Mato Grosso,61 702
Barbalha,Ceará,61 662
Morada Nova,Ceará,61 590
Salgueiro,Pernambuco,61 561
Irati,Paraná,61 439
Cristalina,Goiás,61 385
Dom Eliseu,Pará,61 206
Ibitinga,São Paulo,61 150
Euclides da Cunha,Bahia,61 112
Bezerros,Pernambuco,60 960
Rio Bonito,Rio de Janeiro,60 930
Sidrolândia,Mato Grosso do Sul,60 792
Mirassol,São Paulo,60 768
São Bento do Una,Pernambuco,60 567
Jacundá,Pará,60 517
Frutal,Minas Gerais,60 508
São Miguel do Guamá,Pará,60 268
Limoeiro do Norte,Ceará,60 232
Santo Amaro,Bahia,60 190
Floriano,Piauí,60 111
Ponte Nova,Minas Gerais,60 003
Juruti,Pará,59 961
Tutóia,Maranhão,59 927
Jaguariúna,São Paulo,59 921
São Borja,Rio Grande do Sul,59 768
Cachoeiras de Macacu,Rio de Janeiro,59 652
Cruz Alta,Rio Grande do Sul,59 561
Buíque,Pernambuco,59 448
Parobé,Rio Grande do Sul,59 419
Guarabira,Paraíba,59 389
Ipirá,Bahia,59 281
Tauá,Ceará,59 259
Tefé,Amazonas,59 250
Assu,Rio Grande do Norte,58 743
Mongaguá,São Paulo,58 567
Santa Isabel,São Paulo,58 529
União da Vitória,Paraná,58 298
Monte Alegre,Pará,58 289
Içara,Santa Catarina,58 055
